ሀ     1200
ሁ     1201
ሂ     1202
ሃ     1203
ሄ     1204
ህ     1205
ሆ     1206
ሇ     1207
ለ     1208
ሉ     1209
ሊ     120A
ላ     120B
ሌ     120C
ል     120D
ሎ     120E
ሏ     120F
ሐ     1210
ሑ     1211
ሒ     1212
ሓ     1213
ሔ     1214
ሕ     1215
ሖ     1216
ሗ     1217
መ     1218
ሙ     1219
ሚ     121A
ማ     121B
ሜ     121C
ም     121D
ሞ     121E
ሟ     121F
ሠ     1220
ሡ     1221
ሢ     1222
ሣ     1223
ሤ     1224
ሥ     1225
ሦ     1226
ሧ     1227
ረ     1228
ሩ     1229
ሪ     122A
ራ     122B
ሬ     122C
ር     122D
ሮ     122E
ሯ     122F
ሰ     1230
ሱ     1231
ሲ     1232
ሳ     1233
ሴ     1234
ስ     1235
ሶ     1236
ሷ     1237
ሸ     1238
ሹ     1239
ሺ     123A
ሻ     123B
ሼ     123C
ሽ     123D
ሾ     123E
ሿ     123F
ቀ     1240
ቁ     1241
ቂ     1242
ቃ     1243
ቄ     1244
ቅ     1245
ቆ     1246
ቇ     1247
ቈ     1248
቉     1249
ቊ     124A
ቋ     124B
ቌ     124C
ቍ     124D
቎     124E
቏     124F
ቐ     1250
ቑ     1251
ቒ     1252
ቓ     1253
ቔ     1254
ቕ     1255
ቖ     1256
቗     1257
ቘ     1258
቙     1259
ቚ     125A
ቛ     125B
ቜ     125C
ቝ     125D
቞     125E
቟     125F
በ     1260
ቡ     1261
ቢ     1262
ባ     1263
ቤ     1264
ብ     1265
ቦ     1266
ቧ     1267
ቨ     1268
ቩ     1269
ቪ     126A
ቫ     126B
ቬ     126C
ቭ     126D
ቮ     126E
ቯ     126F
ተ     1270
ቱ     1271
ቲ     1272
ታ     1273
ቴ     1274
ት     1275
ቶ     1276
ቷ     1277
ቸ     1278
ቹ     1279
ቺ     127A
ቻ     127B
ቼ     127C
ች     127D
ቾ     127E
ቿ     127F
ኀ     1280
ኁ     1281
ኂ     1282
ኃ     1283
ኄ     1284
ኅ     1285
ኆ     1286
ኇ     1287
ኈ     1288
኉     1289
ኊ     128A
ኋ     128B
ኌ     128C
ኍ     128D
኎     128E
኏     128F
ነ     1290
ኑ     1291
ኒ     1292
ና     1293
ኔ     1294
ን     1295
ኖ     1296
ኗ     1297
ኘ     1298
ኙ     1299
ኚ     129A
ኛ     129B
ኜ     129C
ኝ     129D
ኞ     129E
ኟ     129F
አ     12A0
ኡ     12A1
ኢ     12A2
ኣ     12A3
ኤ     12A4
እ     12A5
ኦ     12A6
ኧ     12A7
ከ     12A8
ኩ     12A9
ኪ     12AA
ካ     12AB
ኬ     12AC
ክ     12AD
ኮ     12AE
ኯ     12AF
ኰ     12B0
኱     12B1
ኲ     12B2
ኳ     12B3
ኴ     12B4
ኵ     12B5
኶     12B6
኷     12B7
ኸ     12B8
ኹ     12B9
ኺ     12BA
ኻ     12BB
ኼ     12BC
ኽ     12BD
ኾ     12BE
኿     12BF
ዀ     12C0
዁     12C1
ዂ     12C2
ዃ     12C3
ዄ     12C4
ዅ     12C5
዆     12C6
዇     12C7
ወ     12C8
ዉ     12C9
ዊ     12CA
ዋ     12CB
ዌ     12CC
ው     12CD
ዎ     12CE
ዏ     12CF
ዐ     12D0
ዑ     12D1
ዒ     12D2
ዓ     12D3
ዔ     12D4
ዕ     12D5
ዖ     12D6
዗     12D7
ዘ     12D8
ዙ     12D9
ዚ     12DA
ዛ     12DB
ዜ     12DC
ዝ     12DD
ዞ     12DE
ዟ     12DF
ዠ     12E0
ዡ     12E1
ዢ     12E2
ዣ     12E3
ዤ     12E4
ዥ     12E5
ዦ     12E6
ዧ     12E7
የ     12E8
ዩ     12E9
ዪ     12EA
ያ     12EB
